prefix,URI
apps4X,http://semweb.mmlab.be/ns/apps4X#
arp,http://www.arpenteur.org/ontology/Arpenteur.owl#
atd,https://data.nasa.gov/ontologies/atmonto/data#
atm,https://data.nasa.gov/ontologies/atmonto/ATM#
atts,https://data.nasa.gov/ontologies/atmonto/general#
bperson,http://data.vlaanderen.be/ns/persoon#
cbs,http://betalinkeddata.cbs.nl/def/cbs#
cci,http://cookingbigdata.com/linkeddata/ccinstances#
ccp,http://cookingbigdata.com/linkeddata/ccpricing#
ccr,http://cookingbigdata.com/linkeddata/ccregions#
ccsla,http://cookingbigdata.com/linkeddata/ccsla#
cfrl,http://linkeddata.finki.ukim.mk/lod/ontology/cfrl#
ci,https://privatealpha.com/ontology/content-inventory/1#
cwmo,http://purl.org/cwmo/#
dave,http://theme-e.adaptcentre.ie/dave#
dbm,http://purl.org/net/dbm/ontology#
dbowl,http://ontology.cybershare.utep.edu/dbowl/relational-to-ontology-mapping-primitive.owl#
donto,http://reference.data.gov.au/def/ont/dataset#
dprov,http://promsns.org/def/do#
eac-cpf,http://archivi.ibc.regione.emilia-romagna.it/ontology/eac-cpf/
earth,http://linked.earth/ontology#
edupro,http://ns.inria.fr/semed/eduprogression#
ei2a,http://opendata.aragon.es/def/ei2a#
elseweb-data,http://ontology.cybershare.utep.edu/ELSEWeb/
elseweb-modelling,http://ontology.cybershare.utep.edu/ELSEWeb/
eppl,https://w3id.org/ep-plan#
eqp,https://data.nasa.gov/ontologies/atmonto/equipment#
eupont,http://elite.polito.it/ontologies/eupont.owl#
fiesta-iot,http://purl.org/iot/ontology/fiesta-iot#
foio,https://w3id.org/seas/FeatureOfInterestOntology/
gcon,https://w3id.org/GConsent#
gen,http://purl.org/gen/0.1#
hosp,http://health.data.gov/def/hospital/
hw,https://www.auto.tuwien.ac.at/downloads/thinkhome/ontology/WeatherOntology.owl
isoadr,http://reference.data.gov.au/def/ont/iso19160-1-address#
istex,https://data.istex.fr/ontology/istex#
jup,http://w3id.org/charta77/jup/
juso.kr,http://rdfs.co/juso/kr/
lio,http://purl.org/net/lio#
losp,http://sparql.sstu.ru:3030/speciality/
ludo-gm,http://ns.inria.fr/ludo/v1/gamemodel#
ludo-gp,http://ns.inria.fr/ludo/v1/gamepresentation#
ludo-vc,http://ns.inria.fr/ludo/v1/virtualcontext#
ludo-xapi,http://ns.inria.fr/ludo/v1/xapi#
m3lite,http://purl.org/iot/vocab/m3-lite#
mus,http://data.doremus.org/ontology#
nas,https://data.nasa.gov/ontologies/atmonto/NAS#
nno,https://w3id.org/nno/ontology#
obws,http://delicias.dia.fi.upm.es/ontologies/ObjectWithStates.owl#
ocds,http://purl.org/onto-ocds/ocds#
omn-federation,http://open-multinet.info/ontology/omn-federation#
omn-lifecycle,http://open-multinet.info/ontology/omn-lifecycle#
omnlc,http://open-multinet.info/ontology/omn-lifecycle#
otl,https://w3id.org/opentrafficlights#
p-plan,http://purl.org/net/p-plan#
radion,http://www.w3.org/ns/radion#
rami,http://iais.fraunhofer.de/vocabs/rami#
rsctx,http://softeng.polito.it/rsctx#
s4ee,https://w3id.org/saref4ee#
san-lod,http://dati.san.beniculturali.it/SAN/
semsur,http://purl.org/SemSur/
sio,http://sio.semanticscience.org
spvqa,https://bmake.th-brandenburg.de/spv#
summa,http://purl.org/voc/summa/
trao,http://linkeddata.finki.ukim.mk/lod/ontology/tao#
ucum,http://purl.oclc.org/NET/muo/ucum/
veo,http://linkeddata.finki.ukim.mk/lod/ontology/veo#
vocals,http://w3id.org/rsp/vocals#
w3c-ssn,https://www.w3.org/ns/ssn/
wf-invoc,http://purl.org/net/wf-invocation#
xbrll,https://w3id.org/vocab/xbrll#
