prefix,URI
gastro,http://www.ebsemantics.net/gastro#
gnm,http://www.geonames.org/ontology/mappings/
inno,http://purl.org/innovation/ns#
iol,http://www.ontologydesignpatterns.org/ont/dul/IOLite.owl#
itsmo,http://ontology.it/itsmo/v1#
lmm1,http://www.ontologydesignpatterns.org/ont/lmm/LMM_L1.owl#
lmm2,http://www.ontologydesignpatterns.org/ont/lmm/LMM_L2.owl#
lsc,http://linkedscience.org/lsc/ns#
meb,http://rdf.myexperiment.org/ontologies/base/
moac,http://observedchange.com/moac/ns#
msr,http://www.telegraphis.net/ontology/measurement/measurement#
mvco,http://purl.oclc.org/NET/mvco.owl#
obsm,http://rdf.geospecies.org/methods/observationMethod#
odapp,http://vocab.deri.ie/odapp#
odpart,http://www.ontologydesignpatterns.org/cp/owl/participation.owl#
odv,http://reference.data.gov.uk/def/organogram/
oecc,http://www.oegov.org/core/owl/cc#
ontopic,http://www.ontologydesignpatterns.org/ont/dul/ontopic.owl#
ordf,http://purl.org/NET/ordf/
osgeom,http://data.ordnancesurvey.co.uk/ontology/geometry/
ostop,http://www.ordnancesurvey.co.uk/ontology/Topography/v0.1/Topography.owl#
passim,http://data.lirmm.fr/ontologies/passim#
pso,http://purl.org/spar/pso/
ptop,http://www.ontotext.com/proton/protontop#
pwo,http://purl.org/spar/pwo/
quty,http://www.telegraphis.net/ontology/measurement/quantity#
raul,http://vocab.deri.ie/raul#
rdafrbr,http://rdvocab.info/uri/schema/FRBRentitiesRDA/
rdag3,http://rdvocab.info/ElementsGr3/
semio,http://www.lingvoj.org/semio#
seq,http://www.ontologydesignpatterns.org/cp/owl/sequence.owl#
snarm,http://rdf.myexperiment.org/ontologies/snarm/
spt,http://spitfire-project.eu/ontology/ns/
swpo,http://sw-portal.deri.org/ontologies/swportal#
tao,http://vocab.deri.ie/tao#
te,http://www.w3.org/2006/time-entry#
tis,http://www.ontologydesignpatterns.org/cp/owl/timeindexedsituation.owl#
trait,http://contextus.net/ontology/ontomedia/ext/common/trait#
turismo,http://idi.fundacionctic.org/cruzar/turismo#
tvc,http://www.essepuntato.it/2012/04/tvc/
vrank,http://purl.org/voc/vrank#
wsl,http://www.wsmo.org/ns/wsmo-lite#
